BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2026-01-05,838.0,840.0,816.0,11807,9797518.9,135
2026-01-04,848.0,874.0,814.4,14071,1.17029248E7,127
2026-01-01,847.9,858.0,835.0,20188,1.70400472E7,91
2025-12-31,849.0,859.0,840.1,13658,1.15498206E7,107
2025-12-29,860.0,881.0,842.0,10061,8599548.7,138
2025-12-28,882.0,882.0,800.0,32126,2.73949009E7,357
2025-12-24,828.0,851.0,825.1,8030,6723279.0,74
2025-12-23,846.0,856.0,814.0,24721,2.05753513E7,102
2025-12-22,840.0,856.0,808.5,19908,1.66005687E7,155
2025-12-21,825.0,890.0,825.0,13694,1.15361455E7,141
2025-12-18,891.4,933.0,850.0,34716,3.04617076E7,295
2025-12-17,909.8,921.2,868.0,28422,2.52173641E7,310
2025-12-16,940.0,945.0,856.8,43516,3.9097647E7,332
2025-12-15,892.0,892.0,845.5,59828,5.1997269E7,450
2025-12-14,869.0,869.0,813.4,52155,4.41842478E7,476
2025-12-11,830.0,840.0,811.1,30405,2.50248484E7,297
2025-12-10,850.0,861.0,815.4,42970,3.60221363E7,345
2025-12-09,830.0,837.5,790.0,43587,3.57576033E7,437
2025-12-08,774.6,774.6,690.2,49432,3.77501135E7,433
2025-12-07,704.2,724.2,701.0,3897,2787183.3,58
2025-12-03,722.0,725.0,684.1,7540,5366321.7,83
2025-12-02,698.0,704.0,682.2,4037,2806551.0,55
2025-12-01,691.0,697.5,680.0,2176,1491988.0,44
2025-11-30,676.0,704.3,676.0,5553,3831255.6,76
2025-11-27,689.0,692.0,681.5,3864,2654493.4,53
2025-11-26,688.0,691.0,678.0,1725,1178228.0,37
2025-11-25,691.0,691.0,674.0,2684,1832181.0,42
2025-11-24,693.1,732.0,684.0,3457,2402889.4,48
2025-11-23,692.0,698.0,685.0,1956,1351933.0,36
2025-11-20,685.0,690.0,675.0,3043,2066692.5,45
